,平均気温(℃),降水量の合計(mm),日照時間(時間),1日前平均気温(℃),2日前平均気温(℃),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時)
2007/3/1,9,0,10.2,9.5,11.8,快晴,快晴
2007/3/2,9.5,0,7.3,11.8,14.3,曇,薄曇一時晴
2007/3/3,11.8,0,3.4,14.3,17.1,晴時々曇,曇後一時晴
2007/3/4,14.3,0,9,17.1,12.8,曇,薄曇後晴
2007/3/5,17.1,23.5,0.6,12.8,7.7,晴一時雨,曇後一時雨
2007/3/6,12.8,0,3.1,7.7,7.9,曇時々晴一時雨,曇時々晴後一時雨、雷を伴う
2007/3/7,7.7,0,6.7,7.9,7.6,曇後晴,晴一時曇
2007/3/8,7.9,0,9.6,7.6,9.9,快晴,晴
2007/3/9,7.6,0,1.3,9.9,9.2,曇後一時晴,曇
2007/3/10,9.9,0,8.9,9.2,7.6,晴後曇一時雨,晴時々薄曇
2007/3/11,9.2,21.5,2.6,7.6,7.8,快晴,雨後曇一時晴、あられを伴う
2007/3/12,7.6,0,10.6,7.8,7.6,快晴,晴
2007/3/13,7.8,0,9.1,7.6,8.8,快晴,晴
2007/3/14,7.6,0,10.9,8.8,7.9,晴,晴
2007/3/15,8.8,0,5,7.9,6.7,曇後雨,曇一時晴
2007/3/16,7.9,0,0.5,6.7,6.3,晴後曇,曇一時雪
2007/3/17,6.7,0,3.5,6.3,7.6,曇一時雪後晴,曇一時雪後晴
2007/3/18,6.3,0,11.2,7.6,8.3,晴後一時曇,快晴
2007/3/19,7.6,0,9.8,8.3,8.9,曇一時晴,晴
2007/3/20,8.3,0,8.2,8.9,11.7,曇一時晴,晴一時曇
2007/3/21,8.9,0,7.1,11.7,12.4,晴後一時曇,晴
2007/3/22,11.7,0,9.8,12.4,13.4,晴,晴一時曇
2007/3/23,12.4,0,11.3,13.4,15.6,晴,快晴
2007/3/24,13.4,0,1.6,15.6,14.9,曇後雨,曇
2007/3/25,15.6,23.5,0,14.9,13.6,晴一時曇,雨後曇
2007/3/26,14.9,0,8.9,13.6,15.3,晴後薄曇,晴
2007/3/27,13.6,0,0,15.3,18.1,曇後晴,曇
2007/3/28,15.3,0,9.1,18.1,13.2,晴,晴
2007/3/29,18.1,0,10.4,13.2,13.1,晴後曇一時雨,晴
2007/3/30,13.2,8.5,5.3,13.1,17.7,晴後曇,晴時々曇一時雨
2007/3/31,13.1,0,0,17.7,14.3,曇後一時晴,曇
2007/4/1,17.7,0,7.1,14.3,8.8,曇一時雨,晴後薄曇
2007/4/2,14.3,0,0,8.8,7.3,曇後雨,曇一時雨
2007/4/3,8.8,18.5,0,7.3,9.8,雨一時曇,雨後一時曇
2007/4/4,7.3,26,2.1,9.8,11.1,曇後晴,曇後時々雨一時みぞれ、雷を伴う
2007/4/5,9.8,0,9.8,11.1,13.2,晴一時曇,晴
2007/4/6,11.1,0,5.7,13.2,13.6,曇時々晴,晴時々曇
2007/4/7,13.2,0,4.8,13.6,12,曇時々雨,晴後曇
2007/4/8,13.6,1,7.5,12,13.8,曇時々雨,晴後時々曇
2007/4/9,12,12.5,4.2,13.8,12.1,雨一時曇後晴,曇時々晴後一時雨、雷を伴う
2007/4/10,13.8,0,9,12.1,13.3,薄曇,晴後薄曇
2007/4/11,12.1,6,1.2,13.3,16.7,雨後曇,曇後一時雨
2007/4/12,13.3,0,10.4,16.7,19,薄曇一時晴,晴後一時薄曇
2007/4/13,16.7,0,3.1,19,15.2,曇後雨,薄曇
2007/4/14,19,1.5,9.8,15.2,10.6,晴一時薄曇,晴
2007/4/15,15.2,0,7.2,10.6,9.1,曇一時晴,薄曇
2007/4/16,10.6,11.5,0,9.1,8.8,雨,雨一時曇
2007/4/17,9.1,15,0,8.8,9.9,曇一時雨,雨時々曇、雷を伴う
2007/4/18,8.8,10,0.6,9.9,14,雨,曇後雨
2007/4/19,9.9,6,2.9,14,19.2,晴時々曇,曇一時雨
2007/4/20,14,0,8,19.2,20,曇,晴
2007/4/21,19.2,0,8.1,20,15,薄曇,薄曇
2007/4/22,20,0,2,15,13.1,曇一時雨,曇
2007/4/23,15,0,0,13.1,13.2,曇,曇
2007/4/24,13.1,4.5,0.6,13.2,16.4,雨,曇
2007/4/25,13.2,15.5,0,16.4,14.2,曇後晴,雨時々曇一時霧雨
2007/4/26,16.4,1,9.8,14.2,15.2,薄曇後一時晴,晴後一時雨、雷を伴う
2007/4/27,14.2,0,6.5,15.2,16.4,晴一時薄曇,晴後薄曇
2007/4/28,15.2,5,5.5,16.4,19.2,晴一時曇,薄曇後一時雨、雷を伴う
2007/4/29,16.4,0,12.9,19.2,17.2,快晴,晴
2007/4/30,19.2,0,12.2,17.2,19.1,晴後曇,晴
2007/5/1,17.2,4,0.2,19.1,19.5,雨,曇時々雨
2007/5/2,19.1,7.5,7.2,19.5,21.5,晴,晴一時曇
2007/5/3,19.5,0,12,21.5,22.2,晴後曇,晴
2007/5/4,21.5,0,12,22.2,18,晴,快晴
2007/5/5,22.2,0,11.4,18,19.5,曇,晴後薄曇
2007/5/6,18,22,0,19.5,20.1,雨時々曇,雨一時曇
2007/5/7,19.5,0,1.9,20.1,23.1,快晴,曇後一時晴
2007/5/8,20.1,0,7.8,23.1,20.3,快晴,曇一時霧後晴
2007/5/9,23.1,0,10,20.3,18.5,薄曇,晴後一時薄曇
2007/5/10,20.3,1.5,4,18.5,19,曇時々雨後晴,曇一時晴
2007/5/11,18.5,0,11.5,19,20.7,晴,快晴
2007/5/12,19,0,12.1,20.7,18.9,曇,晴後一時薄曇
2007/5/13,20.7,0,1.9,18.9,18.4,晴時々曇,曇
2007/5/14,18.9,0,8.2,18.4,19.1,曇時々晴,薄曇
2007/5/15,18.4,0,7.2,19.1,17.8,晴,晴一時雨、雷を伴う
2007/5/16,19.1,0,7.8,17.8,21.2,曇後雨,晴後薄曇
2007/5/17,17.8,16,2.2,21.2,19.2,晴,雨後曇一時晴
2007/5/18,21.2,0,4.7,19.2,18.9,曇,曇一時晴
2007/5/19,19.2,0.5,2,18.9,18.1,晴一時曇,曇一時雨
2007/5/20,18.9,0,13.8,18.1,20.8,快晴,晴
2007/5/21,18.1,0,11.9,20.8,22.4,晴後曇,晴
2007/5/22,20.8,0,9.7,22.4,22.4,晴,薄曇後一時晴
2007/5/23,22.4,0,11.7,22.4,19.1,薄曇一時晴,晴後薄曇
2007/5/24,22.4,0,10.6,19.1,23.1,晴時々曇,晴
2007/5/25,19.1,35.5,0,23.1,23.2,雨後曇一時晴,大雨
2007/5/26,23.1,0,12.5,23.2,16.3,薄曇時々晴,晴
2007/5/27,23.2,0,8.7,16.3,18,晴時々曇一時雨,晴後一時曇
2007/5/28,16.3,0,11,18,18.7,薄曇後晴,晴後一時薄曇
2007/5/29,18,0,8.1,18.7,18.8,曇,薄曇
2007/5/30,18.7,8.5,0.2,18.8,18.4,雨時々曇,曇後雨
2007/5/31,18.8,20,4.1,18.4,20.9,雨後曇、雷を伴う,曇時々晴、雷を伴う
2007/6/1,18.4,0,6.6,20.9,21.7,曇一時晴,曇後晴
2007/6/2,20.9,0,10,21.7,21.5,晴,薄曇後晴
2007/6/3,21.7,0,8.9,21.5,21.8,薄曇,晴後薄曇
2007/6/4,21.5,0,6.1,21.8,22.2,晴,晴一時薄曇
2007/6/5,21.8,0,8.3,22.2,22.4,薄曇後晴,薄曇時々晴
2007/6/6,22.2,0,10.3,22.4,22.4,晴一時曇,晴
2007/6/7,22.4,0.5,4.6,22.4,22.2,曇,曇時々晴一時雨
2007/6/8,22.4,0,7.2,22.2,19.8,曇,晴一時曇
2007/6/9,22.2,0,3.2,19.8,20.9,雨時々曇,曇一時雨
2007/6/10,19.8,27,2,20.9,23.5,曇後雨,曇時々雨、雷を伴う
2007/6/11,20.9,14.5,2.9,23.5,23.6,晴後一時曇,曇時々雨後晴
2007/6/12,23.5,0,10.4,23.6,21.8,晴,晴
2007/6/13,23.6,0,11.5,21.8,24,曇,晴後薄曇
2007/6/14,21.8,15,0,24,24.8,雨後一時曇,曇後雨
2007/6/15,24,3.5,7.2,24.8,22.1,曇後晴,晴一時曇
2007/6/16,24.8,0,13.7,22.1,23.8,晴,晴
2007/6/17,22.1,0,11.5,23.8,26.1,曇,晴時々薄曇
2007/6/18,23.8,0,3.1,26.1,25.5,曇後晴,曇
2007/6/19,26.1,0,8.9,25.5,26.4,薄曇後晴,晴時々曇
2007/6/20,25.5,0,13.3,26.4,23.9,晴後薄曇,快晴
2007/6/21,26.4,0,8.6,23.9,25.4,曇後一時雨,薄曇時々晴
2007/6/22,23.9,7,0,25.4,22.9,曇時々雨,雨一時曇
2007/6/23,25.4,0,9.9,22.9,21,晴後曇,晴一時曇
2007/6/24,22.9,3.5,0,21,22.8,曇時々雨,曇後雨
2007/6/25,21,2.5,0,22.8,26.4,雨時々霧雨,霧雨後曇
2007/6/26,22.8,2,0,26.4,26.5,曇,曇時々雨
2007/6/27,26.4,0,7.8,26.5,27.1,薄曇,晴時々曇
2007/6/28,26.5,0,7.1,27.1,25.4,曇,曇
2007/6/29,27.1,3,1.2,25.4,23.3,曇一時雨,曇後一時雨
2007/6/30,25.4,1.5,2.9,23.3,24,雨後曇,曇一時晴
2007/7/1,23.3,0.5,0.4,24,24.3,曇時々雨,曇
2007/7/2,24,4,0,24.3,21.5,晴時々曇,曇時々雨
2007/7/3,24.3,0,0.2,21.5,24.7,曇後雨,曇
2007/7/4,21.5,6.5,0,24.7,25.8,雨後曇一時霧雨,雨一時霧雨
2007/7/5,24.7,0,5.7,25.8,23.9,薄曇後晴,薄曇時々晴
2007/7/6,25.8,0,10.8,23.9,22.9,曇一時晴,薄曇後晴
2007/7/7,23.9,0,0.1,22.9,23.7,曇,曇
2007/7/8,22.9,0,1.4,23.7,23.3,曇,曇
2007/7/9,23.7,0,3.1,23.3,24.7,曇,曇
2007/7/10,23.3,4.5,0,24.7,24.8,大雨,雨一時曇
2007/7/11,24.7,28.5,0,24.8,24.9,曇時々晴一時雨,雨時々曇
2007/7/12,24.8,3,0.1,24.9,22,曇,曇後雨
2007/7/13,24.9,0,0,22,23.8,曇後雨,曇
2007/7/14,22,60.5,0,23.8,24.8,大雨,大雨
2007/7/15,23.8,67.5,0,24.8,19.8,曇一時雨後晴,大雨
2007/7/16,24.8,0,5.3,19.8,20.5,曇後一時雨,晴後曇
2007/7/17,19.8,11.5,0,20.5,22.2,雨時々霧雨,雨一時曇
2007/7/18,20.5,0.5,0,22.2,24.5,曇,曇一時霧雨
2007/7/19,22.2,0,0,24.5,25.2,曇一時雨,曇一時霧雨
2007/7/20,24.5,0,4.6,25.2,25,曇後時々雨,曇一時晴
2007/7/21,25.2,0.5,0.8,25,25.2,曇後雨,曇一時雨
2007/7/22,25,4.5,0.3,25.2,26.6,曇後一時雨,曇一時雨
2007/7/23,25.2,0.5,0,26.6,26.2,曇一時雨後晴,曇一時雨
2007/7/24,26.6,0,13.3,26.2,27.8,晴,快晴
2007/7/25,26.2,0,8.9,27.8,28.8,晴後一時曇,晴一時曇
2007/7/26,27.8,0.5,3.3,28.8,28.7,曇,曇時々晴一時雨
2007/7/27,28.8,0,8.2,28.7,27.1,晴後一時曇,晴一時曇
2007/7/28,28.7,0,8.6,27.1,22.4,晴時々曇,晴後一時曇
2007/7/29,27.1,7,2,22.4,23.6,雨後曇、雷を伴う,曇後一時雨、雷を伴う
2007/7/30,22.4,34,0.3,23.6,27.4,曇時々大雨、雷を伴う,曇時々雨、雷を伴う
2007/7/31,23.6,19,3.2,27.4,28.7,晴一時曇,曇後一時晴
2007/8/1,27.4,0,8.9,28.7,28.8,曇,晴時々曇
2007/8/2,28.7,0.5,4.9,28.8,30.2,曇後一時晴,曇一時雨後時々晴
2007/8/3,28.8,0,4.2,30.2,29.5,薄曇,薄曇
2007/8/4,30.2,0,11.6,29.5,29,晴,晴一時薄曇
2007/8/5,29.5,0,10.9,29,29.4,晴,晴
2007/8/6,29,0,11.5,29.4,29.7,晴時々薄曇,快晴
2007/8/7,29.4,0,11.8,29.7,30.1,晴一時曇,薄曇一時晴
2007/8/8,29.7,0,7.8,30.1,31.1,薄曇後晴,晴一時曇
2007/8/9,30.1,0,12.3,31.1,31.3,快晴,晴
2007/8/10,31.1,0,10.2,31.3,29.4,晴,晴
2007/8/11,31.3,0,11.9,29.4,29.3,晴後曇,晴
2007/8/12,29.4,0,11.2,29.3,30.1,晴,晴
2007/8/13,29.3,0,5.8,30.1,31.5,晴,曇一時雨後晴
2007/8/14,30.1,0,10,31.5,32.7,快晴,晴
2007/8/15,31.5,0,12.4,32.7,31.7,晴,晴
2007/8/16,32.7,0,7.1,31.7,25.5,曇,晴後一時曇
2007/8/17,31.7,0,5.8,25.5,28.3,曇後一時雨,曇
2007/8/18,25.5,0,0,28.3,30.5,曇後一時晴,曇
2007/8/19,28.3,0,7,30.5,30.2,曇後晴,晴一時曇
2007/8/20,30.5,0,10.4,30.2,31.7,晴時々曇,晴
2007/8/21,30.2,0,10.5,31.7,26.5,晴一時曇,晴
2007/8/22,31.7,0,11.2,26.5,27.5,曇一時雨,晴
2007/8/23,26.5,1,2.3,27.5,28.2,曇一時晴,曇一時雨、雷を伴う
2007/8/24,27.5,5,2.2,28.2,29.2,曇一時雨,曇後晴
2007/8/25,28.2,0,7.6,29.2,29.3,曇時々晴,晴時々薄曇
2007/8/26,29.2,0,8,29.3,28.6,晴時々薄曇,晴時々曇
2007/8/27,29.3,0,7.1,28.6,24.9,薄曇時々晴,薄曇
2007/8/28,28.6,2,3.1,24.9,24.5,曇時々雨、雷を伴う,曇
2007/8/29,24.9,0.5,0,24.5,24.6,雨時々曇一時霧雨,曇一時雨
2007/8/30,24.5,0,0,24.6,22.4,曇,雨時々曇
2007/8/31,24.6,0.5,0.2,22.4,23.5,曇後一時霧雨,曇時々雨
2007/9/1,22.4,0,0,23.5,25.4,曇,曇時々雨
2007/9/2,23.5,0,2.1,25.4,27.2,曇,曇一時晴
2007/9/3,25.4,0,7,27.2,27.2,晴一時曇,曇時々晴
2007/9/4,27.2,6,5.9,27.2,27.3,曇一時雨,晴後曇一時雨
2007/9/5,27.2,42,0.6,27.3,27.1,曇時々大雨,曇時々雨、雷を伴う
2007/9/6,27.3,57.5,0,27.1,28.4,大雨,雨時々曇
2007/9/7,27.1,50,3,28.4,27.5,薄曇後晴,雨後薄曇
2007/9/8,28.4,0,10.4,27.5,26.3,晴,晴
2007/9/9,27.5,0,8.4,26.3,24.8,晴後一時曇,晴
2007/9/10,26.3,5,0.1,24.8,22.1,曇時々雨,曇時々雨
2007/9/11,24.8,55,0,22.1,23.9,大雨一時曇、雷を伴う,曇時々大雨、雷を伴う
2007/9/12,22.1,58,0,23.9,25.8,薄曇,雨後曇
2007/9/13,23.9,0,0.9,25.8,27.5,曇,曇
2007/9/14,25.8,0,5.6,27.5,28.3,晴後一時曇,曇後晴
2007/9/15,27.5,0,6.3,28.3,29,曇時々晴,曇後晴
2007/9/16,28.3,0,10.3,29,25.1,晴時々薄曇,薄曇時々晴
2007/9/17,29,0,9.1,25.1,24.4,曇,晴時々薄曇
2007/9/18,25.1,0,0,24.4,27.3,曇一時雨,曇
2007/9/19,24.4,0,0.2,27.3,27.4,曇一時雨後晴,曇
2007/9/20,27.3,0,10.4,27.4,27.6,快晴,晴
2007/9/21,27.4,0,9.9,27.6,23.7,晴,晴
2007/9/22,27.6,0,8.2,23.7,22.4,曇,晴後一時薄曇
2007/9/23,23.7,0,0,22.4,24.9,曇時々雨,曇
2007/9/24,22.4,0,0.1,24.9,23.2,曇後雨,曇後一時雨
2007/9/25,24.9,1,7.8,23.2,23.6,晴時々曇,晴時々曇
2007/9/26,23.2,0,4.6,23.6,26.7,曇,曇時々晴
2007/9/27,23.6,0,1.1,26.7,18.4,曇後一時晴,曇後一時晴
2007/9/28,26.7,0,9.3,18.4,16.8,曇一時晴後雨,晴
2007/9/29,18.4,3.5,0,16.8,18.1,雨一時曇,雨後一時曇
2007/9/30,16.8,41.5,0,18.1,19.8,雨,大雨
2007/10/1,18.1,4,0,19.8,21,雨一時曇,曇時々雨
2007/10/2,19.8,2,0.2,21,22.1,曇,雨後曇
2007/10/3,21,0,0,22.1,22.5,曇後一時晴,曇
2007/10/4,22.1,0,6,22.5,20.8,晴後雨時々曇,晴時々曇
2007/10/5,22.5,1,6,20.8,19.9,曇一時雨後晴,晴時々曇
2007/10/6,20.8,0,7.9,19.9,21.1,快晴,晴時々曇
2007/10/7,19.9,0,9.5,21.1,19.2,晴後曇,晴
2007/10/8,21.1,4,0.3,19.2,19.9,晴後曇,雨時々曇
2007/10/9,19.2,2.5,0,19.9,20.8,曇,雨後曇
2007/10/10,19.9,0,1.2,20.8,22.1,晴後曇,曇後一時晴
2007/10/11,20.8,0,5.3,22.1,19.5,曇,曇後晴
2007/10/12,22.1,0,5.6,19.5,18.3,曇,晴時々曇
2007/10/13,19.5,0,2,18.3,18.6,曇一時雨,曇一時晴
2007/10/14,18.3,0,0,18.6,16.2,曇一時雨,曇
2007/10/15,18.6,0,1.8,16.2,17.9,曇,曇
2007/10/16,16.2,0,0.1,17.9,17.7,曇一時雨,曇後時々雨
2007/10/17,17.9,0,5.8,17.7,17.4,曇後一時晴,晴後曇
2007/10/18,17.7,0,3.8,17.4,17.5,晴後曇,晴時々曇
2007/10/19,17.4,17.5,0.8,17.5,17.2,雨後曇,曇後一時雨
2007/10/20,17.5,0.5,7.4,17.2,17.6,晴一時曇,薄曇時々晴
2007/10/21,17.2,0,10.1,17.6,18.9,晴後薄曇,晴
2007/10/22,17.6,0,8.4,18.9,16.8,曇時々晴,晴
2007/10/23,18.9,0,3.5,16.8,17.8,晴,曇時々晴
2007/10/24,16.8,0,7.3,17.8,17.4,快晴,晴
2007/10/25,17.8,0,5.2,17.4,16.8,曇,晴後曇
2007/10/26,17.4,15,0,16.8,18.6,雨一時曇,雨後一時曇
2007/10/27,16.8,88.5,0,18.6,21.3,雨後晴,大雨
2007/10/28,18.6,0,10.3,21.3,18.8,晴,快晴
2007/10/29,21.3,0,4.5,18.8,17.3,快晴,曇時々晴
2007/10/30,18.8,0,3.3,17.3,17.5,曇時々雨,晴後曇
2007/10/31,17.3,0.5,3.5,17.5,16.5,晴後一時曇,曇時々晴
2007/11/1,17.5,0.5,3.7,16.5,15.5,曇時々雨,晴一時曇後雨
2007/11/2,16.5,0,0,15.5,15.9,曇一時雨,曇後一時雨
2007/11/3,15.5,0,3.2,15.9,16.4,晴,曇後晴
2007/11/4,15.9,0,8.6,16.4,16,曇時々晴,晴
2007/11/5,16.4,2,5.6,16,16.3,雨,晴後曇
2007/11/6,16,1.5,0,16.3,15.9,曇,曇一時雨
2007/11/7,16.3,0,5.4,15.9,16.2,晴後一時曇,曇後晴
2007/11/8,15.9,0,6.2,16.2,13.2,晴後薄曇,曇後晴
2007/11/9,16.2,0.5,2.6,13.2,14,雨,曇
2007/11/10,13.2,26.5,0,14,15.1,雨時々曇,雨
2007/11/11,14,6,0.4,15.1,16.7,曇時々雨後晴、雷を伴う,曇一時雨
2007/11/12,15.1,0,9.5,16.7,16.2,晴,晴
2007/11/13,16.7,0,9.6,16.2,16.5,晴,快晴
2007/11/14,16.2,0,9,16.5,12.2,晴時々曇,晴
2007/11/15,16.5,0,9.4,12.2,10.1,晴,快晴
2007/11/16,12.2,0,2.5,10.1,11.8,晴後曇,曇後一時晴
2007/11/17,10.1,0,1.9,11.8,9.7,晴,曇時々晴
2007/11/18,11.8,0,8.9,9.7,10.8,晴一時薄曇,晴後一時曇
2007/11/19,9.7,0,8.5,10.8,10.7,曇一時雨,晴後一時曇
2007/11/20,10.8,0,2.9,10.7,8.2,快晴,曇後晴
2007/11/21,10.7,0,9.4,8.2,9.2,晴後一時曇,快晴
2007/11/22,8.2,0,9.5,9.2,9.2,晴,快晴
2007/11/23,9.2,0,8.9,9.2,12,晴,晴
2007/11/24,9.2,0,9.2,12,12.2,快晴,快晴
2007/11/25,12,0,9.3,12.2,13,晴後一時薄曇,快晴
2007/11/26,12.2,0,4.6,13,11.6,曇,晴時々曇
2007/11/27,13,0,0,11.6,9.7,曇後時々雨,曇
2007/11/28,11.6,0,0,9.7,9.9,曇,曇
2007/11/29,9.7,0,0,9.9,11.4,曇,曇
2007/11/30,9.9,0,0,11.4,11.6,曇後晴,曇時々雨
2007/12/1,11.4,0,2.5,11.6,10.5,快晴,曇後時々晴
2007/12/2,11.6,0,6.6,10.5,9.5,晴,晴一時曇
2007/12/3,10.5,1.5,1.7,9.5,8.6,晴一時曇,雨時々晴
2007/12/4,9.5,0,6.5,8.6,9.9,曇後晴,晴
2007/12/5,8.6,0,9.1,9.9,11.1,快晴,快晴
2007/12/6,9.9,0,8.7,11.1,10.6,晴,晴後一時薄曇
2007/12/7,11.1,0,8.4,10.6,10.1,晴,快晴
2007/12/8,10.6,0,2.6,10.1,9.9,曇時々晴一時雨,曇時々晴
2007/12/9,10.1,0,8,9.9,10,晴,晴
2007/12/10,9.9,0,4.4,10,10.9,曇,晴時々曇
2007/12/11,10,0,2.7,10.9,9.2,曇後一時晴,曇
2007/12/12,10.9,0,6.1,9.2,9.8,曇後雨,晴時々曇
2007/12/13,9.2,9.5,0,9.8,8.5,晴一時曇,雨後曇
2007/12/14,9.8,0,6.8,8.5,6.9,晴後一時曇,晴
2007/12/15,8.5,0,7.8,6.9,7.5,快晴,晴
2007/12/16,6.9,0,9,7.5,8,晴時々曇,快晴
2007/12/17,7.5,0,3.1,8,7.5,晴,薄曇一時晴
2007/12/18,8,0,8.7,7.5,8.1,快晴,晴
2007/12/19,7.5,0,0.5,8.1,9.4,曇時々晴,曇一時晴
2007/12/20,8.1,0,8.9,9.4,7.1,快晴,快晴
2007/12/21,9.4,0,8.3,7.1,8.3,曇一時晴,晴後一時薄曇
2007/12/22,7.1,4,0,8.3,9.7,雨,雨時々曇
2007/12/23,8.3,15,3.9,9.7,8,曇,雨後晴
2007/12/24,9.7,0,9,8,6.5,薄曇一時晴,快晴
2007/12/25,8,0,0.5,6.5,7,晴,曇
2007/12/26,6.5,0,7.4,7,8,快晴,薄曇後晴
2007/12/27,7,0,8.8,8,10.6,曇一時晴,晴
2007/12/28,8,11.5,3.2,10.6,9.5,大雨,曇一時晴
2007/12/29,10.6,30,0,9.5,6.5,曇時々雨,曇一時雨
2007/12/30,9.5,0.5,6.5,6.5,6,快晴,晴後一時雨
2007/12/31,6.5,0,9.1,6,6.2,快晴,晴
2008/1/1,6,0,6.9,6.2,5.9,快晴,晴後一時曇
2008/1/2,6.2,0,9.1,5.9,7,快晴,快晴
2008/1/3,5.9,0,9.1,7,6,快晴,晴
2008/1/4,7,0,9,6,7.5,晴後曇,快晴
2008/1/5,6,0,3.7,7.5,8.4,快晴,曇後晴
2008/1/6,7.5,0,9.1,8.4,9.7,晴後一時薄曇,快晴
2008/1/7,8.4,0,1.3,9.7,10.4,曇後晴,曇後一時雨
2008/1/8,9.7,0,8.6,10.4,9,曇,晴
2008/1/9,10.4,0,3.3,9,9.3,晴,曇後晴
2008/1/10,9,0,7.7,9.3,6.9,晴,晴
2008/1/11,9.3,0,6.5,6.9,4.8,曇,晴後曇
2008/1/12,6.9,6,0,4.8,4,曇,雨
2008/1/13,4.8,0,4.1,4,5.4,晴後曇,曇後晴
2008/1/14,4,0,0,5.4,5.9,曇後晴,曇
2008/1/15,5.4,0,4.9,5.9,3.9,曇一時晴,晴一時曇
2008/1/16,5.9,0,8,3.9,3.6,曇時々雪,晴一時曇
